epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0414,1.59332,3.91985,1.2739,0.00142,0.2574,0.14656,0.09277,1.18033,4.21722,0.99452,0.000361721,0.000361721,0.000361721
2,133.76,1.42557,2.6981,1.15963,0.00304,0.62462,0.40649,0.21722,1.41261,4.01234,1.07089,0.000726015,0.000726015,0.000726015
3,200.553,1.40049,2.31744,1.18195,0.99748,0.34618,0.66982,0.41125,1.26432,2.85176,1.08644,0.0010842,0.0010842,0.0010842
4,267.298,1.27855,2.1122,1.14596,0.75946,0.7603,0.88691,0.55331,1.30725,2.10775,1.11736,0.0010835,0.0010835,0.0010835
5,333.748,1.31285,1.84657,1.14132,0.84339,0.82724,0.87983,0.58088,1.29852,2.04066,1.05899,0.00107434,0.00107434,0.00107434
6,401.195,1.25605,1.83322,1.12731,0.8752,0.91626,0.93064,0.59116,1.35246,1.80666,1.10816,0.00106517,0.00106517,0.00106517
7,469.108,1.19553,1.59346,1.07803,0.91206,0.88861,0.94909,0.61112,1.28818,1.46478,1.10623,0.00105601,0.00105601,0.00105601
8,536.008,1.19748,1.51214,1.10974,0.76549,0.86611,0.90753,0.53774,1.59973,1.77566,1.29792,0.00104684,0.00104684,0.00104684
9,602.896,1.16824,1.39401,1.09481,0.898,0.86427,0.94813,0.60212,1.24902,1.48067,1.08195,0.00103767,0.00103767,0.00103767
10,673.239,1.10961,1.31216,1.09983,0.86256,0.94346,0.94976,0.67031,1.19013,1.25445,1.0762,0.00102851,0.00102851,0.00102851
11,742.321,1.13442,1.26233,1.09083,0.92778,0.8969,0.95219,0.59499,1.31727,1.21476,1.1215,0.00101934,0.00101934,0.00101934
12,809.276,1.08285,1.16853,1.03434,0.84053,0.88907,0.9548,0.60112,1.33322,1.44276,1.1188,0.00101018,0.00101018,0.00101018
13,875.464,1.08907,1.10092,1.06544,0.93735,0.91703,0.96281,0.65294,1.2215,1.08723,1.09244,0.00100101,0.00100101,0.00100101
14,940.907,1.06233,1.07913,1.05864,0.93621,0.87682,0.95499,0.64864,1.1543,1.07875,1.05953,0.000991845,0.000991845,0.000991845
15,1006.35,1.08986,1.12688,1.08624,0.95221,0.89184,0.95375,0.66425,1.10316,1.00812,1.05943,0.000982679,0.000982679,0.000982679
16,1072.17,1.02075,1.03714,1.03953,0.97658,0.92059,0.96118,0.64352,1.20559,0.92844,1.05984,0.000973514,0.000973514,0.000973514
17,1138.37,1.01698,1.04546,1.05122,0.89453,0.93875,0.95743,0.66743,1.14049,1.00335,1.05659,0.000964348,0.000964348,0.000964348
18,1204.36,1.01916,0.96654,1.03198,0.93184,0.91168,0.96152,0.66504,1.1449,0.9692,1.08325,0.000955182,0.000955182,0.000955182
19,1270.44,0.99805,0.92513,1.01462,0.96537,0.92545,0.96552,0.65921,1.21117,0.91665,1.07856,0.000946016,0.000946016,0.000946016
20,1336.13,0.9943,0.92782,1.0468,0.92982,0.93824,0.957,0.67422,1.14047,0.96073,1.06661,0.000936851,0.000936851,0.000936851
21,1402.22,0.94476,0.8941,1.00851,0.91938,0.93451,0.95433,0.67621,1.04509,0.84841,1.0347,0.000927685,0.000927685,0.000927685
22,1468.56,0.95762,0.9123,1.02351,0.97283,0.92754,0.95816,0.6704,1.24198,0.87319,1.10835,0.000918519,0.000918519,0.000918519
23,1534.73,0.96495,0.86787,1.02187,0.94481,0.93038,0.96163,0.67434,1.13724,0.88992,1.07642,0.000909353,0.000909353,0.000909353
24,1600.96,0.96733,0.87581,0.99921,0.94184,0.9363,0.96486,0.6679,1.08577,0.89251,1.05746,0.000900188,0.000900188,0.000900188
25,1667.45,0.94939,0.82423,1.01203,0.97361,0.92305,0.96358,0.66328,1.1227,0.78126,1.06874,0.000891022,0.000891022,0.000891022
26,1733.59,0.97342,0.79956,1.04983,0.95727,0.91804,0.96233,0.68358,1.07738,0.73118,1.02923,0.000881856,0.000881856,0.000881856
27,1799.71,0.92257,0.76378,0.99061,0.94434,0.92655,0.96609,0.68353,1.05499,0.75947,1.04048,0.000872691,0.000872691,0.000872691
28,1865.86,0.91738,0.79447,1.02236,0.912,0.94733,0.96751,0.66414,1.06965,0.76432,1.03868,0.000863525,0.000863525,0.000863525
29,1931.26,0.91163,0.79918,0.9923,0.91134,0.9209,0.9583,0.68774,1.05602,0.77137,1.02169,0.000854359,0.000854359,0.000854359
30,1996.66,0.88115,0.72433,0.97969,0.93523,0.92571,0.9534,0.69196,1.04525,0.69249,1.0119,0.000845193,0.000845193,0.000845193
31,2063.67,0.89561,0.74574,0.9917,0.90437,0.9188,0.94652,0.68678,1.0812,0.71672,1.03719,0.000836027,0.000836027,0.000836027
32,2130.4,0.89856,0.7187,0.98951,0.96547,0.94717,0.95973,0.68139,1.09364,0.7167,1.05136,0.000826862,0.000826862,0.000826862
33,2195.65,0.92061,0.74295,1.00743,0.92912,0.91835,0.96878,0.67521,1.06141,0.71992,1.03712,0.000817696,0.000817696,0.000817696
34,2260.8,0.89131,0.70513,0.99706,0.91142,0.93748,0.96596,0.68935,1.10436,0.69994,1.06144,0.00080853,0.00080853,0.00080853
35,2326.31,0.87135,0.70413,0.99215,0.97313,0.92707,0.96927,0.67043,1.21675,0.69998,1.11785,0.000799365,0.000799365,0.000799365
36,2392.02,0.90062,0.7055,1.00353,0.93331,0.93536,0.96691,0.69529,1.02702,0.67539,1.03304,0.000790199,0.000790199,0.000790199
37,2457.51,0.8995,0.71545,0.99105,0.91318,0.93824,0.96197,0.70736,1.07024,0.6655,1.05842,0.000781033,0.000781033,0.000781033
38,2522.82,0.88827,0.68979,0.99816,0.91309,0.94196,0.96695,0.6935,1.07632,0.67626,1.04626,0.000771867,0.000771867,0.000771867
39,2588.06,0.85723,0.68479,0.97574,0.95066,0.92284,0.96781,0.69717,1.05697,0.65563,1.05167,0.000762702,0.000762702,0.000762702
40,2653.51,0.88247,0.69281,1.00286,0.96034,0.91638,0.97334,0.71745,0.98667,0.62092,1.0258,0.000753536,0.000753536,0.000753536
41,2718.85,0.88732,0.66163,1.00052,0.9426,0.91651,0.97089,0.71994,1.03341,0.6223,1.01868,0.00074437,0.00074437,0.00074437
42,2784.29,0.83829,0.63395,0.96763,0.94099,0.94126,0.97095,0.69508,1.01867,0.61597,1.01998,0.000735204,0.000735204,0.000735204
43,2849.52,0.89505,0.66865,0.99461,0.96317,0.92987,0.9741,0.70455,1.0266,0.60753,1.03083,0.000726038,0.000726038,0.000726038
44,2914.69,0.83663,0.63848,0.96751,0.95817,0.93504,0.97094,0.72491,0.99555,0.63221,1.01608,0.000716873,0.000716873,0.000716873
45,2980.08,0.8528,0.64818,0.98652,0.98226,0.92557,0.96802,0.64372,1.12831,0.64569,1.09003,0.000707707,0.000707707,0.000707707
46,3045.47,0.88442,0.66232,1.02377,0.90442,0.93925,0.96324,0.67743,1.07686,0.64908,1.05904,0.000698541,0.000698541,0.000698541
47,3110.78,0.79518,0.6141,0.95698,0.9319,0.93197,0.96875,0.67388,1.09234,0.62016,1.07582,0.000689376,0.000689376,0.000689376
48,3176.04,0.82413,0.62609,0.9699,0.92959,0.95084,0.97116,0.70354,1.12755,0.60803,1.07367,0.00068021,0.00068021,0.00068021
49,3241.86,0.81906,0.60627,0.9653,0.93525,0.93707,0.97218,0.70542,1.03102,0.60137,1.047,0.000671044,0.000671044,0.000671044
50,3307.56,0.79228,0.61689,0.9544,0.90198,0.94151,0.97431,0.67858,1.05355,0.65211,1.07233,0.000661878,0.000661878,0.000661878
51,3373.3,0.8315,0.61791,0.97479,0.95954,0.91827,0.97393,0.69498,1.00344,0.58396,1.03932,0.000652712,0.000652712,0.000652712
52,3438.73,0.80897,0.61074,0.956,0.95119,0.92966,0.96976,0.6971,1.03885,0.58661,1.06586,0.000643547,0.000643547,0.000643547
53,3504.57,0.77603,0.57956,0.96408,0.96947,0.93049,0.96794,0.68641,1.02552,0.59905,1.06278,0.000634381,0.000634381,0.000634381
54,3570.04,0.79639,0.59187,0.97089,0.96978,0.94733,0.96861,0.69747,1.02362,0.57656,1.05602,0.000625215,0.000625215,0.000625215
55,3635.69,0.77459,0.60849,0.95426,0.97109,0.91096,0.96842,0.69455,0.99965,0.58724,1.0406,0.000616049,0.000616049,0.000616049
56,3701.37,0.76833,0.57475,0.96032,0.95465,0.93561,0.97106,0.68001,1.04419,0.59983,1.05357,0.000606884,0.000606884,0.000606884
57,3767.13,0.76573,0.59103,0.96121,0.97685,0.90157,0.97385,0.7168,1.03145,0.57628,1.03655,0.000597718,0.000597718,0.000597718
